domain,class_label,length,sld_length,n_labels,digit_count,digit_ratio,alpha_count,alpha_ratio,hyphen_count,hyphen_ratio,vowel_count,vowel_ratio,consonant_count,consonant_ratio,unique_chars,unique_char_ratio,hex_char_ratio,char_entropy,bigram_entropy,trigram_entropy,longest_consonant_run,longest_digit_run,consec_consonant_ratio,consec_digit_ratio,repeated_char_ratio,gini_index,has_digits,starts_with_digit,digit_alpha_transitions,max_label_length,mean_label_length,std_label_length,tld_is_common,sld_digit_ratio,sld_entropy,subdomain_count,markov_log_likelihood,kl_div_from_benign,compression_ratio
craft-world.gg,benign,14.0,11.0,2.0,0.0,0.0,12.0,0.9230769,1.0,0.07692308,2.0,0.15384616,10.0,0.7692308,11.0,0.84615386,0.30769232,3.3927474,3.5849626,3.4594316,5.0,0.0,0.3846154,0.0,0.18181819,0.8994083,0.0,0.0,0.0,11.0,6.5,4.5,0.0,0.0,3.2776134,0.0,7.829167,0.9824804,1.6153846
talpanetwork.com,benign,16.0,12.0,2.0,0.0,0.0,15.0,1.0,0.0,0.0,5.0,0.33333334,10.0,0.6666667,12.0,0.8,0.26666668,3.5068905,3.807355,3.7004397,3.0,0.0,0.2,0.0,0.25,0.9066667,0.0,0.0,0.0,12.0,7.5,4.5,1.0,0.0,3.251629,0.0,5.0335712,0.6036912,1.5333333
cs-aspirations.com,benign,18.0,14.0,2.0,0.0,0.0,16.0,0.9411765,1.0,0.05882353,6.0,0.3529412,10.0,0.5882353,11.0,0.64705884,0.23529412,3.3371754,4.0,3.9068906,3.0,0.0,0.1764706,0.0,0.45454547,0.8927336,0.0,0.0,0.0,14.0,8.5,5.5,1.0,0.0,3.182006,0.0,5.019375,0.65626293,1.4705882
gmcompanystore.com,benign,18.0,14.0,2.0,0.0,0.0,17.0,1.0,0.0,0.0,5.0,0.29411766,12.0,0.7058824,12.0,0.7058824,0.23529412,3.4104173,3.75,3.7735572,4.0,0.0,0.23529412,0.0,0.25,0.8927336,0.0,0.0,0.0,14.0,8.5,5.5,1.0,0.0,3.5216405,0.0,4.63,0.7131287,1.3529412
casadasexibidas.com,benign,19.0,15.0,2.0,0.0,0.0,18.0,1.0,0.0,0.0,8.0,0.44444445,10.0,0.5555556,10.0,0.5555556,0.5555556,3.127987,3.6901164,3.875,2.0,0.0,0.11111111,0.0,0.5,0.8703704,0.0,0.0,0.0,15.0,9.0,6.0,1.0,0.0,2.7898982,0.0,5.211765,0.89093906,1.3333334
djazairess.com,benign,14.0,10.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,5.0,0.3846154,8.0,0.61538464,11.0,0.84615386,0.3846154,3.3927474,3.5849626,3.4594316,3.0,0.0,0.23076923,0.0,0.18181819,0.8994083,0.0,0.0,0.0,10.0,6.5,3.5,1.0,0.0,2.9219282,0.0,6.8791666,0.8782542,1.6153846
wagerenergy.nz,benign,14.0,11.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,4.0,0.30769232,9.0,0.6923077,8.0,0.61538464,0.30769232,2.8731406,3.4182959,3.4594316,5.0,0.0,0.3846154,0.0,0.5,0.852071,0.0,0.0,0.0,11.0,6.5,4.5,0.0,0.0,2.6635327,0.0,5.639167,1.2172226,1.6153846
zoofilia.site,benign,13.0,8.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,7.0,0.5833333,5.0,0.41666666,9.0,0.75,0.25,3.0220551,3.4594316,3.321928,1.0,0.0,0.083333336,0.0,0.22222222,0.8611111,0.0,0.0,0.0,8.0,6.0,2.0,1.0,0.0,2.5,0.0,4.949091,0.96452373,1.6666666
valladolid.es,benign,13.0,10.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,5.0,0.41666666,7.0,0.5833333,8.0,0.6666667,0.41666666,2.8553886,3.4594316,3.321928,2.0,0.0,0.16666667,0.0,0.375,0.8472222,0.0,0.0,0.0,10.0,6.0,4.0,1.0,0.0,2.4464393,0.0,4.4727273,0.98129326,1.6666666
madisonriver.net,benign,16.0,12.0,2.0,0.0,0.0,15.0,1.0,0.0,0.0,6.0,0.4,9.0,0.6,11.0,0.73333335,0.26666668,3.3735573,3.807355,3.7004397,2.0,0.0,0.13333334,0.0,0.36363637,0.8977778,0.0,0.0,0.0,12.0,7.5,4.5,1.0,0.0,3.251629,0.0,4.053571,0.5174978,1.5333333
theateraandeparade.nl,benign,21.0,18.0,2.0,0.0,0.0,20.0,1.0,0.0,0.0,9.0,0.45,11.0,0.55,9.0,0.45,0.55,2.941446,4.037401,4.169925,2.0,0.0,0.1,0.0,0.6666667,0.85,0.0,0.0,0.0,18.0,10.0,8.0,1.0,0.0,2.747167,0.0,3.2489474,0.71448135,1.4
buuteeq-mobile.com,benign,18.0,14.0,2.0,0.0,0.0,16.0,0.9411765,1.0,0.05882353,8.0,0.47058824,8.0,0.47058824,11.0,0.64705884,0.3529412,3.3371754,4.0,3.9068906,1.0,0.0,0.05882353,0.0,0.45454547,0.8927336,0.0,0.0,0.0,14.0,8.5,5.5,1.0,0.0,3.182006,0.0,5.873125,1.0245042,1.4705882
musiclifeclub.com,benign,17.0,13.0,2.0,0.0,0.0,16.0,1.0,0.0,0.0,6.0,0.375,10.0,0.625,10.0,0.625,0.375,3.2028196,3.7735572,3.807355,2.0,0.0,0.125,0.0,0.5,0.8828125,0.0,0.0,0.0,13.0,8.0,5.0,1.0,0.0,3.085055,0.0,5.7106667,1.0220338,1.5
zhik.com,benign,8.0,4.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.2857143,5.0,0.71428573,7.0,1.0,0.14285715,2.807355,2.5849626,2.321928,2.0,0.0,0.2857143,0.0,0.0,0.85714287,0.0,0.0,0.0,4.0,3.5,0.5,1.0,0.0,2.0,0.0,5.653333,1.7655879,2.142857
onlinesportsbetting.net,benign,23.0,19.0,2.0,0.0,0.0,22.0,1.0,0.0,0.0,7.0,0.3181818,15.0,0.6818182,11.0,0.5,0.18181819,3.2433004,4.106603,4.321928,4.0,0.0,0.18181819,0.0,0.54545456,0.8801653,0.0,0.0,0.0,19.0,11.0,8.0,1.0,0.0,3.3263605,0.0,4.422381,0.5793922,1.3636364
del.ac.id,benign,9.0,3.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0,0.42857143,4.0,0.5714286,6.0,0.85714287,0.71428573,2.5216405,2.5849626,2.321928,1.0,0.0,0.14285715,0.0,0.16666667,0.81632656,0.0,0.0,0.0,3.0,2.3333333,0.47140452,0.0,0.0,1.5849625,0.0,4.4,1.2141533,2.142857
palipost.com,benign,12.0,8.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,4.0,0.36363637,7.0,0.6363636,9.0,0.8181818,0.18181819,3.0957952,3.321928,3.169925,3.0,0.0,0.27272728,0.0,0.22222222,0.87603307,0.0,0.0,0.0,8.0,5.5,2.5,1.0,0.0,2.75,0.0,4.598,0.88553107,1.7272727
sharpbusiness.com,benign,17.0,13.0,2.0,0.0,0.0,16.0,1.0,0.0,0.0,5.0,0.3125,11.0,0.6875,13.0,0.8125,0.25,3.5,3.9068906,3.807355,3.0,0.0,0.1875,0.0,0.07692308,0.890625,0.0,0.0,0.0,13.0,8.0,5.0,1.0,0.0,3.085055,0.0,4.766,0.5803549,1.5
consortium-psy.com,benign,18.0,14.0,2.0,0.0,0.0,16.0,0.9411765,1.0,0.05882353,5.0,0.29411766,11.0,0.64705884,12.0,0.7058824,0.11764706,3.4548223,3.875,3.9068906,4.0,0.0,0.23529412,0.0,0.33333334,0.899654,0.0,0.0,0.0,14.0,8.5,5.5,1.0,0.0,3.5216405,0.0,5.89625,0.751663,1.4705882
saber-scorpion.com,benign,18.0,14.0,2.0,0.0,0.0,16.0,0.9411765,1.0,0.05882353,6.0,0.3529412,10.0,0.5882353,12.0,0.7058824,0.29411766,3.4548223,3.875,3.9068906,2.0,0.0,0.11764706,0.0,0.33333334,0.899654,0.0,0.0,0.0,14.0,8.5,5.5,1.0,0.0,3.3787835,0.0,5.154375,0.65061104,1.4705882
fanpass.net,benign,11.0,7.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,3.0,0.3,7.0,0.7,7.0,0.7,0.4,2.7219281,3.169925,3.0,3.0,0.0,0.3,0.0,0.42857143,0.84,0.0,0.0,0.0,7.0,5.0,2.0,1.0,0.0,2.2359264,0.0,5.1977777,0.98917276,1.8
wearenotmartha.com,benign,18.0,14.0,2.0,0.0,0.0,17.0,1.0,0.0,0.0,7.0,0.4117647,10.0,0.5882353,10.0,0.5882353,0.3529412,3.2195282,3.875,3.9068906,3.0,0.0,0.1764706,0.0,0.6,0.8858132,0.0,0.0,0.0,14.0,8.5,5.5,1.0,0.0,3.0391486,0.0,3.564375,0.6487822,1.4705882
mindfulmocktail.com,benign,19.0,15.0,2.0,0.0,0.0,18.0,1.0,0.0,0.0,6.0,0.33333334,12.0,0.6666667,12.0,0.6666667,0.2777778,3.4613202,4.087463,4.0,3.0,0.0,0.16666667,0.0,0.41666666,0.90123457,0.0,0.0,0.0,15.0,9.0,6.0,1.0,0.0,3.5068905,0.0,5.7735295,0.7926505,1.4444444
ouchyi.work,benign,11.0,6.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,4.0,0.4,6.0,0.6,9.0,0.9,0.1,3.121928,3.169925,3.0,3.0,0.0,0.3,0.0,0.11111111,0.88,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,2.5849626,0.0,7.0288887,1.1767846,1.8
lakeworthtx.org,benign,15.0,11.0,2.0,0.0,0.0,14.0,1.0,0.0,0.0,4.0,0.2857143,10.0,0.71428573,11.0,0.78571427,0.14285715,3.3787835,3.5465937,3.5849626,5.0,0.0,0.35714287,0.0,0.27272728,0.8979592,0.0,0.0,0.0,11.0,7.0,4.0,1.0,0.0,3.2776134,0.0,6.583846,0.8686861,1.5714285
jackpotmobilecasino.co.uk,benign,25.0,19.0,3.0,0.0,0.0,23.0,1.0,0.0,0.0,10.0,0.4347826,13.0,0.5652174,15.0,0.65217394,0.3043478,3.708132,4.4594316,4.3923173,3.0,0.0,0.13043478,0.0,0.33333334,0.91115314,0.0,0.0,0.0,19.0,7.6666665,8.013877,0.0,0.0,3.6818807,0.0,4.7936363,0.6254347,1.3478261
emsys.com.br,benign,12.0,5.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,2.0,0.2,8.0,0.8,8.0,0.8,0.3,2.9219282,3.169925,3.0,5.0,0.0,0.5,0.0,0.25,0.86,0.0,0.0,0.0,5.0,3.3333333,1.2472191,0.0,0.0,1.921928,0.0,7.801111,1.1299517,1.8
ipnodns.ru,benign,10.0,7.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,3.0,0.33333334,6.0,0.6666667,8.0,0.8888889,0.11111111,2.947703,3.0,2.807355,4.0,0.0,0.44444445,0.0,0.125,0.86419755,0.0,0.0,0.0,7.0,4.5,2.5,1.0,0.0,2.5216405,0.0,7.77125,0.9265102,1.8888888
integralis.com,benign,14.0,10.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,5.0,0.3846154,8.0,0.61538464,12.0,0.9230769,0.23076923,3.5465937,3.5849626,3.4594316,2.0,0.0,0.15384616,0.0,0.083333336,0.9112426,0.0,0.0,0.0,10.0,6.5,3.5,1.0,0.0,3.121928,0.0,3.9916666,0.42952156,1.6153846
hbada.com,benign,9.0,5.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,3.0,0.375,5.0,0.625,7.0,0.875,0.625,2.75,2.807355,2.5849626,2.0,0.0,0.25,0.0,0.14285715,0.84375,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,1.921928,0.0,5.217143,1.2988217,2.0
webeteerprojects.com,benign,20.0,16.0,2.0,0.0,0.0,19.0,1.0,0.0,0.0,7.0,0.36842105,12.0,0.6315789,11.0,0.57894737,0.42105263,3.215841,4.169925,4.087463,4.0,0.0,0.21052632,0.0,0.45454547,0.8698061,0.0,0.0,0.0,16.0,9.5,6.5,1.0,0.0,3.0243974,0.0,6.2555556,0.8203693,1.4210526
express-k.kz,benign,12.0,9.0,2.0,0.0,0.0,10.0,0.90909094,1.0,0.09090909,2.0,0.18181819,8.0,0.72727275,8.0,0.72727275,0.18181819,2.9139771,3.321928,3.169925,3.0,0.0,0.27272728,0.0,0.375,0.8595041,0.0,0.0,0.0,9.0,5.5,3.5,0.0,0.0,2.7254806,0.0,6.386,1.6749237,1.7272727
itbizcon.co.in,benign,14.0,8.0,3.0,0.0,0.0,12.0,1.0,0.0,0.0,5.0,0.41666666,7.0,0.5833333,7.0,0.5833333,0.25,2.688722,3.2776134,3.321928,2.0,0.0,0.16666667,0.0,0.5714286,0.8333333,0.0,0.0,0.0,8.0,4.0,2.828427,0.0,0.0,2.75,0.0,5.929091,1.3619117,1.6666666
dominos.ae,benign,10.0,7.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,5.0,0.5555556,4.0,0.44444445,8.0,0.8888889,0.33333334,2.947703,3.0,2.807355,1.0,0.0,0.11111111,0.0,0.125,0.86419755,0.0,0.0,0.0,7.0,4.5,2.5,0.0,0.0,2.5216405,0.0,5.07375,0.7276056,1.8888888
astmedia.online,benign,15.0,8.0,2.0,0.0,0.0,14.0,1.0,0.0,0.0,7.0,0.5,7.0,0.5,10.0,0.71428573,0.35714287,3.2359264,3.7004397,3.5849626,3.0,0.0,0.21428572,0.0,0.4,0.8877551,0.0,0.0,0.0,8.0,7.0,1.0,1.0,0.0,2.75,0.0,4.36,0.50040287,1.5714285
diamant.cloud,benign,13.0,7.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,5.0,0.41666666,7.0,0.5833333,10.0,0.8333333,0.41666666,3.251629,3.4594316,3.321928,4.0,0.0,0.33333334,0.0,0.2,0.8888889,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,2.5216405,0.0,4.52,0.7333279,1.6666666
bitleap.net,benign,11.0,7.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,4.0,0.4,6.0,0.6,8.0,0.8,0.4,2.9219282,3.169925,3.0,2.0,0.0,0.2,0.0,0.25,0.86,0.0,0.0,0.0,7.0,5.0,2.0,1.0,0.0,2.807355,0.0,4.6555557,0.8803793,1.8
frays.com,benign,9.0,5.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,0.25,6.0,0.75,8.0,1.0,0.375,3.0,2.807355,2.5849626,3.0,0.0,0.375,0.0,0.0,0.875,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,2.321928,0.0,6.202857,1.1243225,2.0
darrelconceptsghana.com,benign,23.0,19.0,2.0,0.0,0.0,22.0,1.0,0.0,0.0,7.0,0.3181818,15.0,0.6818182,14.0,0.6363636,0.4090909,3.6635327,4.2970796,4.321928,5.0,0.0,0.22727273,0.0,0.42857143,0.91322315,0.0,0.0,0.0,19.0,11.0,8.0,1.0,0.0,3.5766177,0.0,5.5595236,0.41441843,1.3636364
